age,two_year_recid,sex,priors_count,length_of_stay,decile_score,c_charge_degree_F,c_charge_degree_M,race
32,1,0,11,1,6,1,0,1
33,1,0,8,0,5,0,1,1
31,1,1,0,1,3,1,0,1
33,1,1,7,26,9,1,0,1
27,1,0,2,1,9,1,0,1
20,0,1,0,0,6,1,0,1
26,0,1,0,0,6,0,1,0
61,1,1,1,0,1,1,0,1
32,1,1,4,6,10,1,0,1
26,1,1,2,0,4,0,1,1
39,0,0,1,3,4,0,1,0
30,1,1,3,530,7,1,0,0
30,0,0,1,70,7,1,0,1
48,0,0,2,0,2,0,1,0
22,0,0,1,0,2,1,0,1
46,1,0,6,22,1,1,0,0
31,0,0,0,2,5,1,0,0
25,1,0,1,1,2,0,1,1
32,0,1,5,1,7,1,0,1
62,0,0,8,15,4,1,0,1
28,1,0,6,0,6,0,1,1
78,1,0,1,0,1,0,1,0
56,0,0,0,1,1,1,0,0
22,1,0,1,0,5,1,0,1
47,1,0,23,0,8,0,1,1
23,1,0,0,1,2,0,1,1
66,0,0,3,2,1,1,0,1
45,1,0,8,71,4,0,1,0
37,1,0,2,0,9,0,1,1
39,1,0,0,0,4,1,0,0
26,1,0,9,79,9,1,0,1
45,0,0,2,358,3,1,0,0
23,1,0,0,0,3,1,0,1
34,0,0,2,25,2,0,1,1
23,0,1,1,0,4,0,1,1
50,0,0,1,1,1,1,0,0
37,0,1,0,0,3,0,1,0
44,0,0,4,1,4,0,1,0
35,1,1,23,2,9,1,0,1
26,1,0,2,1,10,1,0,1
27,0,0,0,2,2,0,1,1
28,0,1,0,29,8,1,0,1
28,1,1,7,1,9,1,0,0
38,0,0,2,1,1,1,0,1
28,0,1,1,38,9,1,0,1
56,1,0,7,0,1,1,0,0
38,0,0,15,1,9,1,0,1
28,0,0,2,0,5,0,1,1
51,1,1,0,0,1,0,1,0
51,0,0,0,0,2,0,1,0
48,0,0,0,1,1,1,0,1
37,1,0,4,1,3,1,0,0
30,0,1,2,2,7,1,0,1
41,0,1,5,0,6,0,1,1
27,1,0,11,223,10,1,0,1
37,0,0,0,1,1,0,1,1
54,0,0,11,129,9,1,0,1
23,0,0,2,71,9,1,0,1
41,0,0,0,0,1,0,1,1
52,0,0,0,0,1,1,0,0
43,1,0,13,51,4,1,0,0
52,0,0,0,13,4,1,0,1
28,0,0,1,3,1,1,0,0
30,1,0,11,1,9,0,1,1
28,0,0,1,6,5,1,0,0
22,0,0,0,0,4,1,0,1
30,0,0,4,-1,2,1,0,1
31,1,0,0,30,8,1,0,0
37,1,0,0,35,2,1,0,0
32,0,0,14,1,9,1,0,1
53,0,0,1,1,1,0,1,0
28,1,0,25,25,8,1,0,1
44,1,0,8,4,5,0,1,0
25,0,0,0,0,3,1,0,1
22,1,0,1,5,8,0,1,0
23,1,1,5,0,5,1,0,0
29,0,0,1,0,3,0,1,1
20,1,0,1,1,8,1,0,1
30,1,0,2,1,6,1,0,1
27,0,0,4,0,4,1,0,1
37,0,1,2,0,1,1,0,1
20,0,0,0,2,8,1,0,1
52,0,1,0,0,1,1,0,1
23,1,1,0,3,4,1,0,1
48,0,1,0,1,2,1,0,1
25,0,0,0,0,5,1,0,0
27,1,0,0,1,6,1,0,0
30,1,0,11,1,7,1,0,1
22,1,0,3,1,10,0,1,1
22,0,1,1,0,3,1,0,0
41,0,1,2,0,3,0,1,1
52,1,0,3,24,6,1,0,1
43,0,0,0,41,1,1,0,1
37,0,0,3,2,1,1,0,0
70,0,0,1,12,1,0,1,0
46,0,0,3,14,4,1,0,0
21,1,0,0,1,9,0,1,1
26,1,0,1,1,8,0,1,1
34,0,0,5,1,4,0,1,0
34,0,0,5,0,4,0,1,1
23,1,0,0,0,5,1,0,0
34,1,0,5,2,4,1,0,1
39,1,0,6,2,3,1,0,1
58,0,0,2,1,3,1,0,0
21,0,1,0,0,6,0,1,1
23,1,0,4,11,8,0,1,1
62,0,0,0,1,1,1,0,0
37,0,0,5,10,3,1,0,0
32,0,1,5,-1,1,1,0,1
27,0,0,0,0,1,0,1,1
44,1,0,0,1,1,0,1,0
28,1,0,3,0,3,0,1,0
42,0,1,0,1,2,1,0,0
27,0,0,0,17,2,1,0,1
20,1,0,0,0,10,1,0,1
51,0,1,0,1,1,0,1,0
56,0,0,0,1,1,0,1,0
29,0,0,7,1,9,1,0,1
20,1,0,0,209,9,1,0,1
27,0,0,8,68,5,1,0,0
24,1,0,2,19,9,1,0,1
53,1,0,36,32,6,1,0,0
28,1,0,2,1,3,0,1,0
36,0,1,0,12,7,1,0,1
25,1,1,2,1,4,0,1,0
28,0,0,1,1,5,1,0,0
21,1,1,0,1,8,1,0,1
36,0,0,0,0,3,0,1,0
24,0,0,0,0,3,1,0,1
29,0,0,0,1,1,1,0,1
30,0,1,0,3,6,0,1,0
32,1,0,12,1,9,1,0,1
23,0,0,1,1,6,1,0,1
47,0,0,3,0,3,1,0,1
37,0,0,0,19,1,1,0,0
19,1,0,2,1,10,1,0,1
21,0,1,0,0,6,1,0,0
69,0,0,0,0,1,0,1,0
21,0,0,2,2,6,1,0,0
26,1,0,6,3,10,0,1,1
22,0,0,0,0,4,1,0,0
23,1,1,0,0,5,1,0,1
49,0,0,3,3,5,1,0,1
29,0,0,2,50,4,0,1,1
60,0,1,0,0,1,0,1,0
23,1,0,3,0,10,1,0,1
30,0,0,0,1,4,1,0,0
21,0,0,1,-1,3,1,0,1
22,1,0,2,0,6,0,1,0
21,1,0,4,219,9,1,0,1
21,1,0,0,12,5,1,0,1
34,0,0,1,0,1,0,1,0
50,1,1,1,0,1,0,1,0
40,1,0,0,8,7,1,0,0
25,1,0,7,127,8,1,0,1
53,0,1,1,0,1,0,1,0
24,0,1,0,1,4,1,0,1
42,0,0,1,4,1,1,0,1
28,0,0,1,1,3,0,1,1
26,1,0,6,1,8,1,0,1
22,1,0,4,260,9,1,0,1
21,0,0,3,5,7,0,1,0
37,1,0,23,17,9,1,0,1
35,0,0,2,5,5,1,0,1
53,0,0,2,0,1,1,0,1
29,0,0,7,1,4,1,0,1
48,1,0,23,360,8,1,0,0
52,0,1,0,0,1,0,1,0
27,1,0,12,31,8,1,0,1
28,0,0,5,51,9,1,0,1
33,0,0,3,0,3,0,1,0
36,1,0,14,0,7,1,0,1
29,0,0,2,1,5,1,0,1
22,1,0,0,21,9,0,1,1
25,0,0,0,0,2,1,0,0
56,0,0,5,12,3,1,0,1
27,1,0,9,52,8,1,0,1
52,1,0,4,7,1,1,0,0
32,0,0,3,1,2,1,0,1
39,0,1,0,0,6,0,1,0
56,0,0,0,0,1,0,1,0
22,0,1,0,0,7,1,0,1
53,0,0,11,110,6,1,0,1
25,1,0,0,0,2,0,1,0
22,0,0,0,1,3,1,0,0
58,0,1,2,1,1,0,1,0
31,1,0,7,1,3,0,1,1
22,1,0,1,0,5,1,0,0
28,1,0,8,3,6,1,0,1
20,1,0,0,0,7,1,0,1
29,1,0,0,5,6,0,1,0
58,1,0,21,59,7,0,1,1
22,0,0,3,106,7,1,0,1
37,0,0,0,0,4,1,0,0
57,1,0,1,25,5,1,0,1
27,0,0,3,-1,1,0,1,0
26,0,0,3,33,4,1,0,1
24,1,0,3,0,8,1,0,0
33,0,0,0,1,1,1,0,0
29,0,0,2,0,6,1,0,1
24,1,1,3,1,10,1,0,1
19,1,0,1,32,10,1,0,0
36,0,0,2,0,1,0,1,0
24,0,1,0,0,5,1,0,0
34,0,0,0,0,1,0,1,0
20,1,0,1,1,10,1,0,1
24,1,0,1,1,2,0,1,1
61,0,0,4,1,1,1,0,0
50,0,1,3,-1,2,1,0,1
30,0,0,1,4,1,0,1,1
38,0,0,5,1,3,1,0,1
24,0,0,0,0,1,0,1,0
46,1,1,2,9,10,1,0,1
41,1,0,0,3,1,0,1,0
27,1,0,13,1,8,0,1,1
26,1,0,1,13,6,0,1,1
29,1,0,3,1,5,1,0,1
52,1,0,6,1,5,1,0,0
28,1,0,1,4,4,1,0,0
55,1,0,5,118,3,1,0,1
26,1,0,10,0,9,1,0,1
28,0,0,5,1,10,1,0,1
63,0,0,2,3,1,1,0,0
42,0,0,0,1,1,1,0,1
23,0,0,6,0,6,1,0,1
54,1,0,28,5,9,1,0,1
35,1,0,8,10,7,1,0,1
24,1,1,6,26,9,1,0,1
54,0,0,2,0,1,0,1,1
58,1,0,12,3,6,0,1,1
23,1,0,1,0,5,0,1,0
35,0,0,1,0,2,0,1,1
20,1,0,1,2,10,1,0,1
51,0,0,0,35,1,1,0,0
37,0,0,3,6,2,1,0,0
47,0,0,3,0,1,1,0,0
34,1,0,4,1,6,1,0,0
56,0,0,0,0,1,1,0,0
59,1,0,1,0,1,1,0,0
24,1,1,6,3,9,1,0,0
21,1,0,2,8,9,0,1,0
26,0,0,1,1,2,1,0,1
30,0,1,0,1,2,0,1,0
29,1,0,0,1,4,0,1,0
54,0,0,0,1,1,0,1,1
29,1,0,4,8,4,1,0,1
59,0,1,0,0,1,0,1,0
38,0,0,0,1,5,1,0,1
27,1,0,1,1,3,0,1,0
66,1,0,33,13,6,1,0,1
27,0,0,2,0,5,1,0,0
51,0,0,1,1,1,0,1,0
35,0,0,1,74,2,1,0,0
52,0,0,4,0,3,0,1,0
26,0,1,0,1,2,0,1,1
48,0,1,0,0,1,0,1,0
33,0,0,2,0,3,0,1,1
34,0,1,6,52,4,1,0,1
59,1,0,10,127,7,1,0,1
29,1,0,5,2,5,1,0,1
24,0,0,0,1,2,1,0,0
48,1,0,1,129,7,1,0,0
52,0,0,4,1,5,0,1,1
20,1,0,0,0,4,1,0,1
25,1,0,4,5,4,1,0,0
24,0,0,0,15,2,1,0,0
23,0,0,0,1,9,0,1,0
27,0,0,6,1,4,1,0,0
25,1,0,1,0,3,0,1,1
31,0,0,0,0,2,1,0,1
25,1,0,6,4,4,1,0,1
32,1,0,1,0,1,1,0,0
21,1,0,0,-1,3,1,0,0
25,0,0,0,0,3,1,0,0
35,0,0,0,2,7,1,0,1
42,1,0,14,1,7,1,0,1
24,1,0,9,10,10,0,1,0
47,0,0,1,0,1,0,1,0
27,1,0,5,1,9,1,0,1
46,1,0,2,0,6,1,0,0
44,0,0,1,0,3,0,1,1
23,0,0,2,0,2,1,0,0
42,0,0,8,1,5,1,0,1
58,0,0,6,144,6,1,0,1
26,0,0,3,1,6,1,0,1
39,1,0,3,3,3,1,0,1
21,1,0,3,-1,5,1,0,1
63,0,0,1,5,1,0,1,0
22,1,0,3,7,7,1,0,1
50,0,0,3,0,3,0,1,1
38,0,0,0,9,1,1,0,1
41,0,0,1,6,6,1,0,0
28,1,0,16,1,8,1,0,1
30,0,1,0,1,3,0,1,1
23,0,0,1,0,5,1,0,1
25,1,0,2,12,4,1,0,0
40,0,0,5,0,4,1,0,0
27,1,0,5,64,4,0,1,1
44,0,0,11,180,3,0,1,0
35,1,1,6,1,2,1,0,1
42,0,0,0,0,1,0,1,0
38,0,0,15,0,7,1,0,1
25,0,1,0,0,3,0,1,1
49,1,1,2,0,1,0,1,0
50,1,0,5,1,1,1,0,0
66,1,0,0,0,1,0,1,0
46,0,1,0,1,1,0,1,0
30,1,0,5,1,6,1,0,1
22,0,1,0,-1,3,0,1,0
23,0,0,1,9,4,0,1,0
25,0,0,0,0,3,0,1,1
21,0,1,0,2,7,1,0,0
27,0,0,0,1,2,0,1,1
24,0,1,0,0,5,1,0,0
20,0,0,1,0,3,1,0,1
31,1,0,3,19,8,0,1,1
27,1,0,3,6,7,0,1,1
40,0,0,0,1,2,1,0,1
22,1,0,11,0,10,1,0,1
38,0,1,1,0,1,1,0,1
30,0,0,1,0,7,0,1,1
27,1,0,6,34,6,1,0,0
59,0,1,0,0,1,0,1,0
37,0,0,2,1,1,0,1,0
28,1,0,5,1,7,0,1,1
38,0,0,0,0,1,1,0,0
22,1,0,0,0,8,1,0,1
25,1,0,4,31,5,1,0,1
51,0,0,0,0,1,0,1,0
29,1,0,2,25,2,0,1,0
28,0,0,10,0,3,1,0,1
55,1,0,9,3,3,0,1,1
23,0,1,3,5,10,1,0,0
22,0,1,0,7,5,0,1,1
19,1,1,2,22,10,1,0,0
31,0,0,1,-1,1,0,1,1
29,0,0,0,0,1,0,1,1
61,1,0,15,1,6,1,0,1
20,1,0,4,2,9,1,0,1
26,1,0,3,1,7,1,0,0
27,0,0,5,1,9,0,1,0
25,0,0,1,1,5,1,0,0
23,1,0,3,9,5,1,0,0
38,0,0,0,1,1,1,0,1
27,1,0,18,0,9,1,0,1
35,1,1,0,-1,3,1,0,0
58,1,1,4,1,2,1,0,1
57,1,1,0,1,4,0,1,0
21,0,0,0,0,3,1,0,1
22,0,1,0,1,8,1,0,1
30,0,0,0,2,2,1,0,1
30,1,0,8,1,8,1,0,1
31,0,1,10,0,6,1,0,1
45,0,1,1,1,6,1,0,0
39,1,0,2,4,2,1,0,0
31,1,0,0,1,8,1,0,1
22,1,0,1,1,4,1,0,1
27,1,0,13,2,7,1,0,1
38,1,0,1,0,1,1,0,0
31,1,0,23,55,10,1,0,1
47,0,0,20,1,9,1,0,1
22,0,0,3,0,7,1,0,1
35,1,0,1,79,9,0,1,1
65,1,0,2,5,2,0,1,1
35,0,0,0,1,4,0,1,1
33,0,1,0,1,3,1,0,1
53,0,0,1,1,1,0,1,0
21,0,0,0,0,5,1,0,1
37,0,0,11,1,4,1,0,1
31,0,1,0,-1,1,0,1,1
59,0,1,2,29,3,1,0,0
27,0,0,0,1,2,0,1,1
36,1,0,0,0,7,0,1,1
46,1,0,17,6,9,1,0,1
22,0,0,3,323,9,1,0,1
28,0,1,0,0,2,0,1,0
34,1,1,15,3,9,1,0,0
23,1,0,2,80,10,0,1,1
27,0,0,3,0,4,1,0,1
48,1,0,3,0,1,1,0,0
31,0,0,5,6,7,1,0,1
36,0,0,4,2,5,0,1,1
44,1,0,14,1,8,1,0,1
53,0,0,2,0,1,1,0,0
33,1,0,3,1,2,0,1,1
47,1,0,2,2,5,1,0,0
57,1,0,20,33,7,1,0,1
28,0,0,2,6,4,0,1,1
24,0,0,1,1,6,0,1,1
44,0,0,1,1,1,1,0,1
46,0,0,0,1,1,1,0,1
37,0,0,6,1,3,1,0,1
26,1,0,10,5,6,0,1,1
27,1,0,10,0,8,1,0,1
40,0,0,1,1,2,1,0,0
60,1,1,9,384,3,1,0,0
53,0,0,1,6,1,1,0,0
28,0,0,0,1,1,1,0,1
46,0,1,2,19,8,1,0,0
23,1,0,0,1,5,1,0,1
50,1,0,18,248,8,1,0,1
45,0,0,0,1,1,0,1,1
22,0,0,1,0,5,1,0,1
26,1,0,1,16,2,1,0,0
62,0,0,0,2,1,1,0,0
34,1,0,0,-1,1,0,1,0
21,0,0,0,1,2,0,1,0
25,1,0,0,0,2,1,0,0
68,0,0,0,3,1,0,1,0
21,0,0,1,0,3,1,0,0
22,0,0,0,0,8,1,0,1
42,0,0,1,0,1,1,0,0
22,1,0,1,1,4,1,0,0
45,1,0,0,2,4,1,0,1
36,1,1,4,0,10,1,0,1
48,0,0,2,1,6,1,0,1
23,1,0,6,8,9,1,0,1
24,0,0,0,1,8,1,0,1
29,0,0,0,1,2,1,0,1
24,0,0,0,0,3,1,0,1
50,0,0,11,2,9,1,0,1
34,1,0,10,2,7,1,0,1
23,0,0,0,0,2,1,0,1
22,0,1,0,2,5,0,1,0
30,1,0,22,3,5,1,0,0
21,1,0,0,1,10,1,0,1
53,0,1,0,1,1,1,0,0
25,1,0,7,0,5,0,1,1
25,0,1,1,0,9,0,1,1
71,0,0,8,24,1,1,0,1
39,0,0,10,40,9,0,1,1
37,0,1,0,37,5,1,0,1
20,1,0,0,7,5,1,0,1
29,0,1,3,0,5,1,0,1
22,1,0,2,1,5,1,0,1
26,1,0,4,83,7,1,0,1
47,1,1,19,30,10,1,0,1
20,1,1,1,17,8,1,0,0
23,0,1,0,1,2,1,0,1
53,0,1,0,0,1,1,0,1
23,0,1,0,0,7,1,0,1
26,1,0,5,22,7,1,0,1
25,0,0,6,6,6,1,0,1
27,1,0,4,0,9,1,0,1
29,0,0,1,3,4,0,1,1
31,0,0,0,0,2,0,1,1
41,1,0,8,0,6,1,0,1
25,0,0,0,0,2,0,1,0
47,0,0,0,-1,1,0,1,0
37,0,0,4,1,2,1,0,1
35,0,1,4,2,5,1,0,1
24,1,0,1,1,4,0,1,0
21,1,0,2,5,9,1,0,0
22,1,0,0,2,4,1,0,0
57,0,0,11,140,6,1,0,1
48,0,0,0,11,7,1,0,0
37,0,1,3,28,7,1,0,1
31,0,0,0,5,1,0,1,0
22,1,0,1,4,9,1,0,1
31,0,0,2,0,3,0,1,0
24,1,0,0,0,5,1,0,1
32,1,0,22,0,9,1,0,1
63,0,0,0,0,1,0,1,1
20,0,0,0,1,4,1,0,0
24,1,1,1,0,5,0,1,1
36,0,1,1,0,2,0,1,1
28,0,0,2,0,6,1,0,0
36,1,0,3,1,2,1,0,1
33,0,1,0,1,2,0,1,1
39,0,0,0,0,3,1,0,1
30,1,0,17,4,10,1,0,1
24,1,0,1,0,1,1,0,1
35,0,0,7,1,6,1,0,1
24,0,0,0,0,3,1,0,1
26,0,0,8,2,4,1,0,0
28,1,0,14,0,7,1,0,1
32,0,0,0,0,5,0,1,1
32,1,1,1,0,3,0,1,0
33,1,0,5,5,8,0,1,1
29,0,0,16,17,10,1,0,1
34,1,0,1,0,3,0,1,0
43,0,0,0,0,1,0,1,0
47,0,0,2,0,4,1,0,0
25,1,0,3,2,6,0,1,1
23,0,1,1,1,3,1,0,1
39,0,0,2,0,2,0,1,0
35,1,0,13,5,8,1,0,1
43,0,0,20,1,8,1,0,1
25,1,0,3,0,8,1,0,1
48,1,0,25,6,10,1,0,1
22,1,0,1,1,7,0,1,1
52,1,0,9,38,8,0,1,1
26,1,0,5,35,4,1,0,0
67,1,0,4,27,7,0,1,1
34,0,0,4,1,2,0,1,1
56,0,0,4,0,1,0,1,0
28,1,0,1,5,4,1,0,1
29,0,0,2,0,4,0,1,1
37,1,0,6,20,5,1,0,1
51,0,0,0,1,1,1,0,0
20,1,0,1,0,7,0,1,1
26,1,0,4,293,7,0,1,0
39,1,1,1,10,2,0,1,0
21,0,0,1,2,8,1,0,1
21,1,0,1,2,9,1,0,1
24,1,0,3,1,4,1,0,0
26,1,0,4,1,8,0,1,1
48,0,0,1,0,2,1,0,0
24,1,0,5,1,5,1,0,1
26,0,0,0,-1,4,1,0,0
46,0,0,0,1,1,1,0,0
24,0,0,7,1,9,0,1,1
21,0,1,0,0,5,0,1,0
24,1,0,1,1,3,1,0,1
36,0,0,9,1,8,0,1,1
30,1,0,5,1,4,1,0,1
22,0,1,1,1,6,1,0,0
25,1,0,0,9,9,1,0,1
31,1,0,25,117,8,0,1,1
24,0,0,0,2,4,1,0,1
39,1,0,13,1,8,1,0,1
30,0,1,4,0,3,1,0,1
40,0,0,0,22,2,1,0,0
52,0,1,0,2,1,1,0,1
23,0,0,3,33,9,1,0,1
26,0,1,1,1,2,0,1,1
22,1,0,1,19,8,1,0,0
42,0,0,3,0,4,1,0,0
23,1,0,6,135,10,1,0,1
28,0,0,1,2,3,1,0,1
50,0,0,1,1,1,1,0,0
32,0,0,1,1,7,1,0,1
51,0,0,3,1,2,1,0,1
19,1,0,1,0,4,0,1,0
32,0,0,4,108,5,1,0,1
31,1,1,1,0,3,1,0,0
29,0,1,1,179,5,1,0,1
26,1,0,9,11,7,1,0,1
27,1,0,0,27,10,1,0,0
52,1,0,1,3,1,1,0,0
28,1,0,3,1,6,0,1,1
32,1,0,3,2,1,1,0,1
27,1,0,5,0,3,0,1,1
42,0,1,0,0,1,0,1,0
33,1,0,0,0,2,1,0,1
28,0,1,3,45,4,0,1,0
53,0,1,0,0,1,0,1,0
24,0,0,0,1,2,1,0,0
39,1,0,6,35,7,0,1,1
22,1,0,1,-1,7,1,0,1
46,1,0,2,9,2,1,0,1
25,0,0,0,1,2,0,1,1
52,0,0,1,3,5,1,0,0
28,1,0,4,0,2,0,1,1
57,1,1,1,1,1,1,0,0
49,1,0,3,0,1,1,0,1
21,1,0,2,0,9,1,0,1
32,1,0,19,14,10,1,0,1
63,0,0,3,220,9,0,1,1
29,0,0,2,1,3,1,0,0
46,0,0,0,1,1,0,1,1
28,1,0,10,1,7,0,1,1
27,0,0,1,3,2,1,0,1
33,0,1,1,0,1,0,1,0
32,1,0,14,2,9,1,0,1
24,0,0,2,1,7,1,0,1
26,1,0,5,3,10,1,0,1
25,0,0,1,1,5,1,0,0
21,0,0,1,108,8,1,0,1
25,1,0,2,0,2,0,1,1
22,1,0,6,2,7,1,0,1
26,0,1,0,0,6,1,0,0
20,0,0,0,1,4,1,0,0
30,1,0,1,1,5,0,1,1
45,1,0,0,1,5,1,0,1
33,1,0,7,78,7,1,0,1
35,0,0,2,0,1,1,0,0
41,0,0,5,1,1,1,0,0
23,0,0,0,2,3,0,1,0
21,1,1,0,1,5,0,1,0
54,0,0,0,1,1,1,0,1
27,1,0,10,1,6,1,0,1
22,0,0,0,1,3,0,1,0
23,1,0,2,6,6,1,0,1
36,1,0,5,19,8,0,1,1
29,1,0,10,23,7,1,0,1
54,1,0,4,78,5,0,1,1
22,1,0,2,13,5,0,1,0
26,1,0,0,0,4,0,1,1
20,0,1,0,1,4,1,0,1
52,1,0,6,1,1,0,1,1
29,0,0,0,2,1,1,0,1
23,0,1,6,17,7,0,1,1
35,0,0,1,9,1,0,1,1
32,1,0,8,0,9,1,0,0
21,1,0,1,0,7,0,1,1
30,1,0,4,1,4,0,1,1
30,0,1,3,26,4,1,0,1
23,1,0,2,6,7,1,0,1
32,0,0,8,2,4,1,0,0
29,1,0,6,39,10,1,0,1
42,0,0,0,0,1,0,1,0
21,1,0,0,0,8,1,0,1
22,0,1,0,0,3,0,1,1
29,0,0,0,0,2,0,1,1
30,1,0,6,2,5,1,0,1
51,0,0,17,0,4,0,1,1
24,0,0,2,0,6,1,0,0
23,0,0,2,5,7,0,1,1
36,0,0,5,0,4,1,0,1
39,0,0,1,4,6,1,0,1
29,0,0,2,37,6,1,0,1
44,0,0,6,-1,3,1,0,0
25,0,0,2,58,5,1,0,1
31,0,0,0,0,10,1,0,1
35,1,0,17,2,7,0,1,1
27,1,0,11,2,10,0,1,1
33,0,0,1,1,5,1,0,1
28,1,0,6,0,9,1,0,1
60,0,0,1,0,1,1,0,0
54,0,1,0,1,1,1,0,1
24,0,0,3,1,4,0,1,0
75,0,1,5,1,1,1,0,1
36,1,0,16,0,5,1,0,1
25,1,1,5,47,7,0,1,1
46,0,0,0,0,1,1,0,0
27,0,0,1,6,2,1,0,1
28,1,0,3,-1,3,0,1,1
42,1,0,13,0,8,0,1,1
59,0,0,2,0,1,0,1,1
39,0,0,1,14,1,1,0,0
46,0,0,5,12,4,0,1,0
55,0,0,2,1,1,1,0,0
35,1,0,1,1,10,0,1,1
43,1,0,0,1,1,0,1,1
53,0,1,0,0,1,0,1,0
21,0,1,0,1,5,0,1,1
55,1,0,17,25,10,1,0,1
27,1,0,1,1,3,1,0,1
40,0,0,0,2,1,1,0,1
37,0,1,0,1,1,0,1,0
32,1,0,2,5,2,0,1,0
32,0,0,2,1,2,0,1,1
36,1,0,4,2,5,0,1,1
31,0,1,0,2,8,1,0,1
26,1,1,4,0,7,1,0,1
50,1,1,30,3,6,0,1,0
47,0,0,4,0,3,1,0,1
36,0,0,2,1,3,1,0,1
38,0,1,0,1,1,1,0,0
53,0,0,0,0,1,1,0,0
53,0,0,2,0,3,1,0,1
57,0,0,19,117,7,1,0,1
22,1,0,5,19,8,1,0,1
21,1,0,0,1,10,1,0,1
26,1,0,0,1,3,1,0,1
27,0,0,2,20,5,1,0,1
49,0,1,4,3,5,1,0,0
47,1,0,1,0,3,1,0,0
30,1,0,8,1,10,1,0,1
44,0,0,3,0,1,1,0,0
34,0,0,1,1,1,1,0,1
45,1,0,10,1,3,1,0,1
50,0,0,2,0,1,0,1,0
29,0,0,1,0,6,0,1,0
26,0,0,0,0,4,1,0,0
